"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15227","TC_E2E_09 - finishing order shows order complete page","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","9656","TC_CHK_13 - Back Home button returns to inventory","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6872","TC_E2E_03 - add multiple items, badge shows correct count","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6932","TC_CHK_01 - step 1 loads with all form fields visible","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","12373","empty password shows validation error","chromium","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","7297","TC_E2E_03 - add multiple items, badge shows correct count","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6706","TC_E2E_04 - cart shows all added items","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4800","TC_USR_06 - locked_out_user stays on login page","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6762","TC_CHK_05 - cancel on step 1 returns to cart","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","8022","cart item shows product name","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","11158","TC_CHK_05 - cancel on step 1 returns to cart","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6068","adding two products shows badge count of 2","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","6885","each product has a non-empty name","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","4696","TC_USR_07 - problem_user can log in and reach inventory","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","2576","valid login redirects to inventory page","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","6027","inventory page loads with products","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","6398","sort by Price (low to high) applies correctly","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","1","TC_E2E_01 - login then see product catalog","webkit","2026-05-28","skipped","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","18097","TC_CHK_10 - Finish navigates to order complete page","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","4407","TC_USR_02 - standard_user can add all items to cart without errors","chromium","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","4779","added product appears in cart","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","3494","login page has correct title","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","6227","each product shows a price in $X.XX format","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","22494","TC_E2E_10 - back home after order returns to inventory","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","5447","TC_USR_13 - visual_user can log in and reach inventory","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","11255","sort by Price (high to low) applies correctly","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","0","TC_USR_15 - invalid credentials always show error for any user","webkit","2026-05-28","skipped","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6314","sort by Name (A to Z) applies correctly","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","6839","TC_NAV_04 - clicking burger opens the sidebar","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5514","Continue Shopping returns to inventory","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","6125","locked out user sees error message","firefox","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","7200","TC_NAV_13 - cart badge count increments correctly","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","7708","TC_VIS_15 - no horizontal overflow on 1280px desktop viewport","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","5242","TC_NAV_14 - inventory page title is ""Products""","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","7266","TC_CHK_07 - step 2 shows ordered items","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","9556","TC_VIS_09 - invalid login shows visible error container","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","4063","TC_VIS_01 - login page has correct document title","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","7325","TC_USR_03 - standard_user can sort products by every option","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","9632","TC_CHK_13 - Back Home button returns to inventory","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","3656","invalid login keeps user on login page","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","7311","TC_CHK_15 - pony express image visible on order complete","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","7241","TC_CHK_02 - empty first name shows validation error","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","9725","TC_USR_09 - performance_glitch_user logs in (may be slow)","chromium","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6056","TC_NAV_03 - burger menu button is visible","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","10321","TC_E2E_08 - order overview total = subtotal + tax","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4713","TC_USR_06 - locked_out_user stays on login page","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","9927","TC_VIS_07 - six Add to Cart buttons with correct data-test attributes","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","4609","problem_user can log in successfully","firefox","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","10033","TC_NAV_11 - cart icon is visible in header","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","3524","TC_USR_15 - invalid credentials always show error","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","7090","TC_CHK_04 - empty postal code shows validation error","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6475","cart is empty by default","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","22417","TC_E2E_12 - full flow: product detail → cart → checkout → complete","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4187","cart page loads at correct URL","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","7280","TC_NAV_12 - clicking cart icon goes to cart page","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","8050","checkout button is visible with items in cart","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","6385","TC_USR_12 - error_user sees all 6 products on inventory page","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6185","cart page title is ""Your Cart""","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","5800","cart is empty by default","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","8871","TC_CHK_14 - cancel on step 2 returns to inventory","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6562","each product shows a price in $X.XX format","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9979","TC_USR_10 - performance_glitch_user reaches inventory with products","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6713","TC_CHK_10 - Finish navigates to order complete page","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","13061","TC_NAV_10 - Reset App State clears the cart","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","7407","TC_NAV_10 - Reset App State clears the cart","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","8586","TC_VIS_10 - Enter key on password field submits login","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","8960","added product appears in cart","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","7054","Back to Products button returns to inventory","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9118","TC_NAV_07 - All Items link goes to inventory","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","6734","TC_E2E_07 - complete checkout with valid shipping info","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
